,expense_per_sqft,gross_income_per_sqft,market_value_per_sqft,neighborhood,bbl
404,9.55,34.38,187.43,GREENWICH VILLAGE-WEST,1006130040
405,9.39,40.13,232.09,GREENWICH VILLAGE-WEST,1006130042
406,11.36,36.14,187.11,GREENWICH VILLAGE-WEST,1006140032
407,11.78,34.73,173.25,GREENWICH VILLAGE-WEST,1006140037
408,11.78,35.53,179.25,GREENWICH VILLAGE-WEST,1006150067
409,9.54,39.93,229.48,GREENWICH VILLAGE-WEST,1006150076
410,10.8,31.77,158.32,GREENWICH VILLAGE-WEST,1006150086
411,8.05,31.59,177.73,GREENWICH VILLAGE-WEST,1006160001
412,7.89,35.87,211.25,GREENWICH VILLAGE-WEST,1006160011
413,11.41,37.45,196.61,GREENWICH VILLAGE-WEST,1006180060
414,12.25,38.06,194.88,GREENWICH VILLAGE-WEST,1006190038
415,10.48,42.82,244.17,GREENWICH VILLAGE-WEST,1006200019
416,12.56,37.81,190.62,GREENWICH VILLAGE-WEST,1006200053
417,14.32,37.67,176.32,GREENWICH VILLAGE-WEST,1006200054
418,9.98,32.63,171.0,GREENWICH VILLAGE-WEST,1006200056
419,12.56,37.81,190.61,GREENWICH VILLAGE-WEST,1006200058
420,9.83,44.79,263.94,GREENWICH VILLAGE-WEST,1006200066
421,10.4,35.85,192.12,GREENWICH VILLAGE-WEST,1006200067
422,11.29,40.5,220.51,GREENWICH VILLAGE-WEST,1006200082
423,11.46,41.05,223.42,GREENWICH VILLAGE-WEST,1006210013
424,14.2,43.89,224.16,GREENWICH VILLAGE-WEST,1006210035
425,12.86,40.67,209.93,GREENWICH VILLAGE-WEST,1006220014
426,12.86,40.67,209.89,GREENWICH VILLAGE-WEST,1006220017
427,10.42,35.44,188.9,GREENWICH VILLAGE-WEST,1006220041
428,14.37,42.64,213.43,GREENWICH VILLAGE-WEST,1006220065
429,12.16,38.04,195.44,GREENWICH VILLAGE-WEST,1006220066
430,14.2,43.89,224.12,GREENWICH VILLAGE-WEST,1006230055
431,10.17,37.84,208.91,GREENWICH VILLAGE-WEST,1006240001
432,11.61,39.41,209.9,GREENWICH VILLAGE-WEST,1006240008
